layer,cosine_similarity
0,0.3842359
1,0.55872434
2,0.5959042
3,0.53747106
4,0.51270354
5,0.47706103
6,0.41319913
7,0.26631802
8,0.23880325
9,0.17102644
10,0.3212473
11,0.2610448
12,0.4770541
13,0.46202856
14,0.52113426
15,0.58616185
16,0.59416455
17,0.75351596
18,0.64150906
19,0.70507073
20,0.6879751
21,0.6734901
22,0.57815236
23,0.33661035
24,0.2815509
25,0.15262012
26,0.13916227
27,0.13780051
28,0.12232466
29,0.20927826
30,0.019385599
31,-0.16599451
32,-0.39289117
33,-0.41951895
34,-0.27484217
35,0.01728031
36,0.018273227
37,-0.12549712
38,0.02269755
39,0.023729868
40,-0.092348985
41,-0.30638176
42,-0.16181155
43,-0.19378929
44,0.07751811
45,-0.71137863
